"FTSE EPRA Nareit United States USD Price Return Index | Price History                                          04-May-2021 23:39",,,,,,,
,,,,,,,
,,,,,,,
.FTUNUS,,,,,,,
"Interval: Daily",,,,,,,
"History Period: 04-May-2001 - 03-May-2021",,,,,,,
"Currency Conversion: USD",,,,,,,
,,,,,,,
,,,,,,,
".FTUNUS Statistics     Daily     04-May-2001 - 03-May-2021",,,,,,,
Price,,,Up/Down,,"Price Change (Close-Close)",,
High,"3431,19",2020/02/21,Up,2688,Up,"0,183511498032571",2008/11/24
Low,"688,96",2009/03/06,Down,2331,Down,"-0,194984218903146",2008/12/01
Avg,"2241,01562143895",,Unch,172,Period,"1,68930494101673","04-May-2001 - 03-May-2021"
,,,,,,,
,,,,,,,
".FTUNUS History     Daily     04-May-2001 - 03-May-2021",,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,
2006/01/19,"2242,21","29,0900000000001","0,0131443392134182","2213,12","2213,12","2242,21",
2006/01/18,"2213,12","-3,17000000000007","-0,0014303182345271","2216,29","2202,21","2222,02",
2006/01/17,"2216,29","-5,78999999999996","-0,00260566676267279","2222,08","2201,6","2222,08",
2006/01/16,"2222,08",0,0,"2222,08","2222,08","2222,08",
2006/01/13,"2222,08","-29,8099999999999","-0,0132377691627921","2251,89","2216,82","2251,89",
2006/01/12,"2251,89","-7,93000000000029","-0,00350912904567633","2259,82","2245,96","2259,82",
2006/01/11,"2259,82","-3,82999999999993","-0,00169195767896977","2263,65","2250,79","2270,02",
2006/01/10,"2263,65","19,7600000000002","0,00880613577314406","2243,89","2233,05","2269,95",
2006/01/09,"2243,89","16,46","0,00738968227957783","2227,43","2226,47","2243,89",
2006/01/06,"2227,43","22,29","0,0101082017468279","2205,14","2204,73","2227,43",
2006/01/05,"2205,14","20,2799999999997","0,00928205926237825","2184,86","2184,28","2213,23",
2006/01/04,"2184,86","8,09000000000015","0,00371651575499485","2176,77","2171,51","2187,45",
2006/01/03,"2176,77","41,6500000000001","0,0195071003034959","2135,12","2119,51","2178,89",
2005/12/30,"2135,12","-7,17000000000007","-0,00334688580911085","2142,29","2130,14","2142,29",
2005/12/29,"2142,29","-12,1199999999999","-0,00562567013706764","2154,41","2139,76","2161,15",
2005/12/28,"2154,41","-11,3500000000004","-0,00524065455082759","2161,55","2144,48","2162,26",
2005/12/23,"2165,76","7,20000000000027","0,00333555703802548","2158,56","2158,56","2172,21",
2005/12/22,"2158,56","11,6700000000001","0,00543576988108383","2146,89","2130,87","2159,09",
2005/12/21,"2146,89","15,1299999999997","0,00709742184861319","2131,76","2131,76","2149,44",
2005/12/20,"2131,76","-1,89999999999964","-0,000890488643926228","2133,66","2121,55","2140,08",
2005/12/19,"2133,66","-24,9900000000002","-0,0115766798693629","2146,17","2119,71","2146,17",
2005/12/16,"2158,65","2,53999999999996","0,00117804750221462","2156,11","2156,11","2166,55",
2005/12/15,"2156,11","-16,4200000000001","-0,00755800840494726","2172,53","2154,16","2182,51",
2005/12/14,"2172,53","5,87000000000035","0,00270923910535125","2166,66","2159,09","2180,19",
2005/12/13,"2166,66","10,0599999999999","0,0046647500695539","2156,6","2149,85","2167,14",
2005/12/12,"2156,6","-3,48000000000002","-0,00161105144253917","2160,08","2147,73","2165,67",
2005/12/09,"2160,08","9,11999999999989","0,00423996727042804","2150,96","2147,86","2163,99",
2005/12/08,"2150,96","16,4299999999998","0,00769724482672993","2134,53","2134,53","2166,54",
2005/12/07,"2134,53","-11,9199999999996","-0,00555335554054351","2146,45","2128,37","2149,84",
2005/12/06,"2146,45","-4,88000000000011","-0,00226836422120275","2151,33","2146,45","2160,57",
2005/12/05,"2151,33","-17,04","-0,00785843744379417","2168,37","2146,71","2168,37",
2005/12/02,"2168,37","-2,82000000000016","-0,00129882691058828","2171,19","2155,53","2171,19",
2005/12/01,"2171,19","28,3800000000001","0,0132442913744103","2142,81","2142,81","2171,78",
